total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,512,4220422.10
128,95,0.0,0,20000000,512,4238562.80
128,50,0.0,0,20000000,512,4230994.70
128,0,0.0,0,20000000,512,4157805.90
128,100,0.99,0,20000000,512,4206442.30
128,95,0.99,0,20000000,512,4195220.50
128,50,0.99,0,20000000,512,4051914.90
128,0,0.99,0,20000000,512,3951677.80
128,100,1.0,0,20000000,512,4194699.10
128,95,1.0,0,20000000,512,4183632.60
128,50,1.0,0,20000000,512,4032072.10
128,0,1.0,0,20000000,512,3933855.70
128,100,1.5,0,20000000,512,2431906.40
128,95,1.5,0,20000000,512,2378675.80
128,50,1.5,0,20000000,512,1817048.70
128,0,1.5,0,20000000,512,1123258.90
128,100,2.0,0,20000000,512,1658107.60
128,95,2.0,0,20000000,512,1615567.40
128,50,2.0,0,20000000,512,1140083.30
128,0,2.0,0,20000000,512,330437.80
128,100,2.5,0,20000000,512,1370671.00
128,95,2.5,0,20000000,512,1335234.80
128,50,2.5,0,20000000,512,923710.30
128,0,2.5,0,20000000,512,152069.90
128,100,0.0,8,20000000,512,15094153.30
128,95,0.0,8,20000000,512,15032408.10
128,50,0.0,8,20000000,512,13885762.20
128,0,0.0,8,20000000,512,12385568.80
128,100,0.99,8,20000000,512,14254105.90
128,95,0.99,8,20000000,512,14123939.90
128,50,0.99,8,20000000,512,12834960.30
128,0,0.99,8,20000000,512,11512857.00
128,100,1.0,8,20000000,512,13938677.50
128,95,1.0,8,20000000,512,13856858.50
128,50,1.0,8,20000000,512,12669113.10
128,0,1.0,8,20000000,512,11384637.00
128,100,1.5,8,20000000,512,2679275.10
128,95,1.5,8,20000000,512,2627267.70
128,50,1.5,8,20000000,512,2052724.50
128,0,1.5,8,20000000,512,1331175.30
128,100,2.0,8,20000000,512,1689040.10
128,95,2.0,8,20000000,512,1647724.40
128,50,2.0,8,20000000,512,1167197.20
128,0,2.0,8,20000000,512,342592.30
128,100,2.5,8,20000000,512,1377356.70
128,95,2.5,8,20000000,512,1342927.10
128,50,2.5,8,20000000,512,929538.90
128,0,2.5,8,20000000,512,153918.00
