total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,256,15390564.70
128,95,0.0,0,20000000,256,15288741.70
128,50,0.0,0,20000000,256,13978959.80
128,0,0.0,0,20000000,256,12583518.80
128,100,0.99,0,20000000,256,15339059.70
128,95,0.99,0,20000000,256,5382090.23
128,50,0.99,0,20000000,256,1294147.30
128,0,0.99,0,20000000,256,1198057.00
128,100,1.0,0,20000000,256,15162121.50
128,95,1.0,0,20000000,256,4911213.60
128,50,1.0,0,20000000,256,1165626.10
128,0,1.0,0,20000000,256,1083372.30
128,100,1.5,0,20000000,256,8898696.90
128,95,1.5,0,20000000,256,391858.60
128,50,1.5,0,20000000,256,137068.80
128,0,1.5,0,20000000,256,131185.00
128,100,2.0,0,20000000,256,6148412.30
128,95,2.0,0,20000000,256,227094.90
128,50,2.0,0,20000000,256,84931.90
128,0,2.0,0,20000000,256,81265.70
128,100,2.5,0,20000000,256,5147710.00
128,95,2.5,0,20000000,256,174869.40
128,50,2.5,0,20000000,256,69333.20
128,0,2.5,0,20000000,256,66060.20
128,100,0.0,8,20000000,256,16257975.30
128,95,0.0,8,20000000,256,16071665.00
128,50,0.0,8,20000000,256,14395631.70
128,0,0.0,8,20000000,256,12859091.50
128,100,0.99,8,20000000,256,16151630.80
128,95,0.99,8,20000000,256,5408428.20
128,50,0.99,8,20000000,256,1244614.30
128,0,0.99,8,20000000,256,1165747.60
128,100,1.0,8,20000000,256,16075481.00
128,95,1.0,8,20000000,256,4632869.40
128,50,1.0,8,20000000,256,1129246.90
128,0,1.0,8,20000000,256,1050115.60
128,100,1.5,8,20000000,256,9256940.00
128,95,1.5,8,20000000,256,381446.70
128,50,1.5,8,20000000,256,133875.50
128,0,1.5,8,20000000,256,127768.80
128,100,2.0,8,20000000,256,6317425.10
128,95,2.0,8,20000000,256,220714.10
128,50,2.0,8,20000000,256,83205.70
128,0,2.0,8,20000000,256,79842.40
128,100,2.5,8,20000000,256,5239405.70
128,95,2.5,8,20000000,256,170911.00
128,50,2.5,8,20000000,256,67317.40
128,0,2.5,8,20000000,256,64908.40
