total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,512,4220576.90
128,95,0.0,0,20000000,512,4238494.80
128,50,0.0,0,20000000,512,4230438.40
128,0,0.0,0,20000000,512,4159556.00
128,100,0.99,0,20000000,512,4199517.80
128,95,0.99,0,20000000,512,1254558.30
128,50,0.99,0,20000000,512,324789.00
128,0,0.99,0,20000000,512,286916.50
128,100,1.0,0,20000000,512,4192267.50
128,95,1.0,0,20000000,512,1118982.11
128,50,1.0,0,20000000,512,305408.10
128,0,1.0,0,20000000,512,271981.80
128,100,1.5,0,20000000,512,2430936.40
128,95,1.5,0,20000000,512,113498.70
128,50,1.5,0,20000000,512,37935.00
128,0,1.5,0,20000000,512,32816.30
128,100,2.0,0,20000000,512,1657340.80
128,95,2.0,0,20000000,512,67014.40
128,50,2.0,0,20000000,512,23755.50
128,0,2.0,0,20000000,512,20433.90
128,100,2.5,0,20000000,512,1372149.70
128,95,2.5,0,20000000,512,51605.10
128,50,2.5,0,20000000,512,19512.70
128,0,2.5,0,20000000,512,16569.30
128,100,0.0,8,20000000,512,14890043.50
128,95,0.0,8,20000000,512,14856594.60
128,50,0.0,8,20000000,512,13733806.90
128,0,0.0,8,20000000,512,12258441.70
128,100,0.99,8,20000000,512,14097709.10
128,95,0.99,8,20000000,512,1411091.30
128,50,0.99,8,20000000,512,333137.90
128,0,0.99,8,20000000,512,295811.50
128,100,1.0,8,20000000,512,13817756.10
128,95,1.0,8,20000000,512,1226566.60
128,50,1.0,8,20000000,512,302420.80
128,0,1.0,8,20000000,512,264866.60
128,100,1.5,8,20000000,512,2679189.00
128,95,1.5,8,20000000,512,111323.40
128,50,1.5,8,20000000,512,36601.20
128,0,1.5,8,20000000,512,31301.30
128,100,2.0,8,20000000,512,1689418.10
128,95,2.0,8,20000000,512,64480.30
128,50,2.0,8,20000000,512,23107.20
128,0,2.0,8,20000000,512,19432.40
128,100,2.5,8,20000000,512,1377820.10
128,95,2.5,8,20000000,512,50459.90
128,50,2.5,8,20000000,512,18808.20
128,0,2.5,8,20000000,512,15771.00
