total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,256,4412454.80
128,95,0.0,0,20000000,256,4408013.80
128,50,0.0,0,20000000,256,4408503.80
128,0,0.0,0,20000000,256,4418842.60
128,100,0.99,0,20000000,256,5281930.00
128,95,0.99,0,20000000,256,3063033.50
128,50,0.99,0,20000000,256,966015.40
128,0,0.99,0,20000000,256,932413.80
128,100,1.0,0,20000000,256,5336684.80
128,95,1.0,0,20000000,256,2850419.90
128,50,1.0,0,20000000,256,879310.40
128,0,1.0,0,20000000,256,851792.20
128,100,1.5,0,20000000,256,6116018.90
128,95,1.5,0,20000000,256,303031.20
128,50,1.5,0,20000000,256,106141.20
128,0,1.5,0,20000000,256,104630.40
128,100,2.0,0,20000000,256,5017943.90
128,95,2.0,0,20000000,256,176210.80
128,50,2.0,0,20000000,256,65827.10
128,0,2.0,0,20000000,256,65028.00
128,100,2.5,0,20000000,256,4351235.20
128,95,2.5,0,20000000,256,135178.00
128,50,2.5,0,20000000,256,53496.70
128,0,2.5,0,20000000,256,52646.50
128,100,0.0,8,20000000,256,4403438.20
128,95,0.0,8,20000000,256,4404627.90
128,50,0.0,8,20000000,256,4409193.80
128,0,0.0,8,20000000,256,4417962.20
128,100,0.99,8,20000000,256,5481825.10
128,95,0.99,8,20000000,256,3221058.50
128,50,0.99,8,20000000,256,1026403.40
128,0,0.99,8,20000000,256,983354.30
128,100,1.0,8,20000000,256,5538811.50
128,95,1.0,8,20000000,256,2990768.40
128,50,1.0,8,20000000,256,916570.80
128,0,1.0,8,20000000,256,894461.10
128,100,1.5,8,20000000,256,6296402.40
128,95,1.5,8,20000000,256,321980.30
128,50,1.5,8,20000000,256,112454.50
128,0,1.5,8,20000000,256,111090.20
128,100,2.0,8,20000000,256,5281496.00
128,95,2.0,8,20000000,256,184512.80
128,50,2.0,8,20000000,256,69490.40
128,0,2.0,8,20000000,256,68901.50
128,100,2.5,8,20000000,256,4621440.80
128,95,2.5,8,20000000,256,142328.80
128,50,2.5,8,20000000,256,57415.20
128,0,2.5,8,20000000,256,55591.70
