total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,256,5149464.10
128,95,0.0,0,20000000,256,5133011.20
128,50,0.0,0,20000000,256,5003178.50
128,0,0.0,0,20000000,256,4841850.90
128,100,0.99,0,20000000,256,5219518.20
128,95,0.99,0,20000000,256,1417681.00
128,50,0.99,0,20000000,256,388730.80
128,0,0.99,0,20000000,256,387331.40
128,100,1.0,0,20000000,256,5222353.40
128,95,1.0,0,20000000,256,1267239.20
128,50,1.0,0,20000000,256,352112.00
128,0,1.0,0,20000000,256,351156.30
128,100,1.5,0,20000000,256,2647717.10
128,95,1.5,0,20000000,256,132385.10
128,50,1.5,0,20000000,256,44994.90
128,0,1.5,0,20000000,256,44678.10
128,100,2.0,0,20000000,256,1727143.70
128,95,2.0,0,20000000,256,78173.00
128,50,2.0,0,20000000,256,28343.50
128,0,2.0,0,20000000,256,27633.00
128,100,2.5,0,20000000,256,1411311.20
128,95,2.5,0,20000000,256,61733.80
128,50,2.5,0,20000000,256,23046.80
128,0,2.5,0,20000000,256,22495.40
128,100,0.0,8,20000000,256,10553423.10
128,95,0.0,8,20000000,256,10383561.80
128,50,0.0,8,20000000,256,9257675.00
128,0,0.0,8,20000000,256,8407222.10
128,100,0.99,8,20000000,256,10432707.00
128,95,0.99,8,20000000,256,1506649.40
128,50,0.99,8,20000000,256,398007.20
128,0,0.99,8,20000000,256,394155.10
128,100,1.0,8,20000000,256,10252732.90
128,95,1.0,8,20000000,256,1344976.00
128,50,1.0,8,20000000,256,359272.00
128,0,1.0,8,20000000,256,355916.70
128,100,1.5,8,20000000,256,2746107.30
128,95,1.5,8,20000000,256,132919.80
128,50,1.5,8,20000000,256,45029.60
128,0,1.5,8,20000000,256,44653.10
128,100,2.0,8,20000000,256,1740542.60
128,95,2.0,8,20000000,256,78798.50
128,50,2.0,8,20000000,256,28362.70
128,0,2.0,8,20000000,256,27774.70
128,100,2.5,8,20000000,256,1417095.30
128,95,2.5,8,20000000,256,61457.70
128,50,2.5,8,20000000,256,23237.90
128,0,2.5,8,20000000,256,22551.30
