total_client_threads,read_pct,zipf,padding,lock_count,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,15563153.20
128,95,0.0,0,20000000,15467147.50
128,50,0.0,0,20000000,14092468.80
128,0,0.0,0,20000000,12690377.20
128,100,0.99,0,20000000,15499146.90
128,95,0.99,0,20000000,15372834.50
128,50,0.99,0,20000000,13444360.20
128,0,0.99,0,20000000,11987927.40
128,100,1.0,0,20000000,15479070.50
128,95,1.0,0,20000000,15311342.20
128,50,1.0,0,20000000,13369027.20
128,0,1.0,0,20000000,11900417.40
128,100,1.5,0,20000000,8991890.60
128,95,1.5,0,20000000,8763775.40
128,50,1.5,0,20000000,6514584.40
128,0,1.5,0,20000000,3688573.00
128,100,2.0,0,20000000,6184638.40
128,95,2.0,0,20000000,6012509.70
128,50,2.0,0,20000000,4102693.60
128,0,2.0,0,20000000,1089854.50
128,100,2.5,0,20000000,5166396.30
128,95,2.5,0,20000000,5018509.40
128,50,2.5,0,20000000,3346076.50
128,0,2.5,0,20000000,519422.40
128,100,0.0,8,20000000,15225117.90
128,95,0.0,8,20000000,15111029.10
128,50,0.0,8,20000000,13629676.18
128,0,0.0,8,20000000,12147260.07
128,100,0.99,8,20000000,14904947.10
128,95,0.99,8,20000000,14679217.60
128,50,0.99,8,20000000,12694888.80
128,0,0.99,8,20000000,11372605.70
128,100,1.0,8,20000000,14858226.80
128,95,1.0,8,20000000,14636557.80
128,50,1.0,8,20000000,12640475.20
128,0,1.0,8,20000000,11290531.40
128,100,1.5,8,20000000,9206045.70
128,95,1.5,8,20000000,9001685.90
128,50,1.5,8,20000000,6696185.10
128,0,1.5,8,20000000,3747360.20
128,100,2.0,8,20000000,6317205.90
128,95,2.0,8,20000000,6146184.30
128,50,2.0,8,20000000,4196717.60
128,0,2.0,8,20000000,1147228.80
128,100,2.5,8,20000000,5237985.30
128,95,2.5,8,20000000,5090332.70
128,50,2.5,8,20000000,3396560.70
128,0,2.5,8,20000000,543728.50
