total_client_threads,read_pct,zipf,padding,lock_count,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,6939090.30
128,95,0.0,0,20000000,6960744.00
128,50,0.0,0,20000000,6914345.00
128,0,0.0,0,20000000,6732448.90
128,100,0.99,0,20000000,6759703.60
128,95,0.99,0,20000000,6753918.70
128,50,0.99,0,20000000,6545813.60
128,0,0.99,0,20000000,6373686.40
128,100,1.0,0,20000000,6715651.90
128,95,1.0,0,20000000,6706792.10
128,50,1.0,0,20000000,6494016.20
128,0,1.0,0,20000000,6329828.90
128,100,1.5,0,20000000,2585458.40
128,95,1.5,0,20000000,2531723.10
128,50,1.5,0,20000000,1964403.00
128,0,1.5,0,20000000,1247268.80
128,100,2.0,0,20000000,1680846.90
128,95,2.0,0,20000000,1638977.40
128,50,2.0,0,20000000,1162634.10
128,0,2.0,0,20000000,347528.20
128,100,2.5,0,20000000,1376063.00
128,95,2.5,0,20000000,1341042.30
128,50,2.5,0,20000000,931352.30
128,0,2.5,0,20000000,160528.70
128,100,0.0,8,20000000,15431685.30
128,95,0.0,8,20000000,15472581.00
128,50,0.0,8,20000000,14545549.40
128,0,0.0,8,20000000,13238606.20
128,100,0.99,8,20000000,14558910.50
128,95,0.99,8,20000000,14515876.50
128,50,0.99,8,20000000,13455976.20
128,0,0.99,8,20000000,12298782.40
128,100,1.0,8,20000000,14293924.60
128,95,1.0,8,20000000,14283448.20
128,50,1.0,8,20000000,13288642.70
128,0,1.0,8,20000000,12212287.80
128,100,1.5,8,20000000,2680614.50
128,95,1.5,8,20000000,2629197.40
128,50,1.5,8,20000000,2058398.70
128,0,1.5,8,20000000,1333634.20
128,100,2.0,8,20000000,1689409.90
128,95,2.0,8,20000000,1647973.00
128,50,2.0,8,20000000,1171256.00
128,0,2.0,8,20000000,351064.90
128,100,2.5,8,20000000,1377735.10
128,95,2.5,8,20000000,1342701.00
128,50,2.5,8,20000000,932448.50
128,0,2.5,8,20000000,161027.60
