total_client_threads,read_pct,zipf,padding,lock_count,tuple_size,aggregate_throughput_tx_per_sec
128,100,0.0,0,20000000,512,15271202.10
128,95,0.0,0,20000000,512,15025387.70
128,50,0.0,0,20000000,512,13389422.40
128,0,0.0,0,20000000,512,11870278.50
128,100,0.99,0,20000000,512,15208236.50
128,95,0.99,0,20000000,512,14913290.00
128,50,0.99,0,20000000,512,12768479.50
128,0,0.99,0,20000000,512,11205682.20
128,100,1.0,0,20000000,512,15148131.80
128,95,1.0,0,20000000,512,14881010.60
128,50,1.0,0,20000000,512,12694179.90
128,0,1.0,0,20000000,512,11108822.20
128,100,1.5,0,20000000,512,9056219.80
128,95,1.5,0,20000000,512,8829819.80
128,50,1.5,0,20000000,512,6561840.00
128,0,1.5,0,20000000,512,3665978.50
128,100,2.0,0,20000000,512,6228926.47
128,95,2.0,0,20000000,512,6056891.90
128,50,2.0,0,20000000,512,4131002.50
128,0,2.0,0,20000000,512,1106718.30
128,100,2.5,0,20000000,512,5184440.10
128,95,2.5,0,20000000,512,5033355.90
128,50,2.5,0,20000000,512,3356391.60
128,0,2.5,0,20000000,512,526959.80
128,100,0.0,8,20000000,512,15060152.70
128,95,0.0,8,20000000,512,14792937.70
128,50,0.0,8,20000000,512,13044501.40
128,0,0.0,8,20000000,512,11568434.70
128,100,0.99,8,20000000,512,15015805.60
128,95,0.99,8,20000000,512,14674047.00
128,50,0.99,8,20000000,512,12459556.10
128,0,0.99,8,20000000,512,10911196.90
128,100,1.0,8,20000000,512,14976284.70
128,95,1.0,8,20000000,512,14645620.60
128,50,1.0,8,20000000,512,12371533.60
128,0,1.0,8,20000000,512,10846402.10
128,100,1.5,8,20000000,512,9205094.80
128,95,1.5,8,20000000,512,9009945.70
128,50,1.5,8,20000000,512,6691952.30
128,0,1.5,8,20000000,512,3716877.10
128,100,2.0,8,20000000,512,6313795.60
128,95,2.0,8,20000000,512,6138594.10
128,50,2.0,8,20000000,512,4197109.60
128,0,2.0,8,20000000,512,1109941.00
128,100,2.5,8,20000000,512,5242862.30
128,95,2.5,8,20000000,512,5094240.40
128,50,2.5,8,20000000,512,3395266.10
128,0,2.5,8,20000000,512,524295.20
