size,num_locks,threads,bench,throughput
64,2000,1,pessimistic,0.2140544
64,2000,2,pessimistic,0.42377190000000003
64,2000,4,pessimistic,0.8532478
64,2000,8,pessimistic,1.7070343000000001
64,2000,16,pessimistic,3.3045742999999996
64,2000,1,broken,0.1121265
64,2000,2,broken,0.2226919
64,2000,4,broken,0.4438078
64,2000,8,broken,0.8839656
64,2000,16,broken,1.7206851
64,2000,1,rc,1.2204031000000002
64,2000,2,rc,2.4396092
64,2000,4,rc,4.8456415
64,2000,8,rc,9.676197
64,2000,16,rc,18.5497213
64,2000,1,rcopt,1.1974776999999999
64,2000,2,rcopt,2.3691136
64,2000,4,rcopt,4.7102015999999995
64,2000,8,rcopt,9.3260474
64,2000,16,rcopt,15.5051669
128,2000,1,pessimistic,0.2092704
128,2000,2,pessimistic,0.4354361
128,2000,4,pessimistic,0.8338426999999999
128,2000,8,pessimistic,1.687544
128,2000,16,pessimistic,3.2313552000000003
128,2000,1,broken,0.1112318
128,2000,2,broken,0.22098489999999998
128,2000,4,broken,0.4404161
128,2000,8,broken,0.8775919
128,2000,16,broken,1.6868634
128,2000,1,rc,1.2188091
128,2000,2,rc,2.43443
128,2000,4,rc,5.086433700000001
128,2000,8,rc,9.534638900000001
128,2000,16,rc,18.355812800000002
128,2000,1,rcopt,1.1942563
128,2000,2,rcopt,2.3672392
128,2000,4,rcopt,4.6983995
128,2000,8,rcopt,9.5456506
128,2000,16,rcopt,15.7307376
256,2000,1,pessimistic,0.20667229999999998
256,2000,2,pessimistic,0.40972159999999996
256,2000,4,pessimistic,0.8222319
256,2000,8,pessimistic,1.6419281000000001
256,2000,16,pessimistic,3.1607952999999998
256,2000,1,broken,0.11061510000000001
256,2000,2,broken,0.219548
256,2000,4,broken,0.44843140000000004
256,2000,8,broken,0.8706845
256,2000,16,broken,1.6726637
256,2000,1,rc,1.2138822
256,2000,2,rc,2.4216119
256,2000,4,rc,4.9472146
256,2000,8,rc,9.6187623
256,2000,16,rc,18.2802877
256,2000,1,rcopt,1.189368
256,2000,2,rcopt,2.3546082000000004
256,2000,4,rcopt,4.684304099999999
256,2000,8,rcopt,9.7354043
256,2000,16,rcopt,15.682433199999998
512,2000,1,pessimistic,0.202512
512,2000,2,pessimistic,0.40177240000000003
512,2000,4,pessimistic,0.8029611
512,2000,8,pessimistic,1.6030393
512,2000,16,pessimistic,3.0612033
512,2000,1,broken,0.10924489999999999
512,2000,2,broken,0.2168078
512,2000,4,broken,0.4322212
512,2000,8,broken,0.8596165
512,2000,16,broken,1.6587839
512,2000,1,rc,1.2108865
512,2000,2,rc,2.5287588
512,2000,4,rc,4.8059128
512,2000,8,rc,9.5552419
512,2000,16,rc,15.7473951
512,2000,1,rcopt,1.1837487
512,2000,2,rcopt,2.3555765
512,2000,4,rcopt,4.6724548
512,2000,8,rcopt,9.6764291
512,2000,16,rcopt,15.355049800000002
1024,2000,1,pessimistic,0.1971648
1024,2000,2,pessimistic,0.3888864
1024,2000,4,pessimistic,0.7953724
1024,2000,8,pessimistic,1.5472697
1024,2000,16,pessimistic,2.945615
1024,2000,1,broken,0.1076788
1024,2000,2,broken,0.2135756
1024,2000,4,broken,0.4260288
1024,2000,8,broken,0.848141
1024,2000,16,broken,1.6219268
1024,2000,1,rc,1.2028879
1024,2000,2,rc,2.3996773
1024,2000,4,rc,4.748267599999999
1024,2000,8,rc,8.669877
1024,2000,16,rc,10.467069
1024,2000,1,rcopt,1.3036748999999999
1024,2000,2,rcopt,2.3521054
1024,2000,4,rcopt,4.7587968
1024,2000,8,rcopt,8.6285219
1024,2000,16,rcopt,10.541608400000001
2048,2000,1,pessimistic,0.188544
2048,2000,2,pessimistic,0.3743424
2048,2000,4,pessimistic,0.7428256
2048,2000,8,pessimistic,1.4869576
2048,2000,16,pessimistic,2.7247905
2048,2000,1,broken,0.1046996
2048,2000,2,broken,0.20837129999999998
2048,2000,4,broken,0.4156861
2048,2000,8,broken,0.8267689
2048,2000,16,broken,1.5582207
2048,2000,1,rc,1.1895148
2048,2000,2,rc,2.3576927000000003
2048,2000,4,rc,4.5503681
2048,2000,8,rc,5.6614089000000005
2048,2000,16,rc,5.5914663
2048,2000,1,rcopt,1.1732995
2048,2000,2,rcopt,2.4291935
2048,2000,4,rcopt,4.5297779
2048,2000,8,rcopt,5.6523919000000005
2048,2000,16,rcopt,5.6277967
4096,2000,1,pessimistic,0.173632
4096,2000,2,pessimistic,0.3462272
4096,2000,4,pessimistic,0.682608
4096,2000,8,pessimistic,1.3185299
4096,2000,16,pessimistic,2.369071
4096,2000,1,broken,0.10027739999999999
4096,2000,2,broken,0.1991493
4096,2000,4,broken,0.3975101
4096,2000,8,broken,0.7842551999999999
4096,2000,16,broken,1.4097043999999999
4096,2000,1,rc,1.1409249
4096,2000,2,rc,2.1627917
4096,2000,4,rc,2.9134375
4096,2000,8,rc,2.914489
