size,num_locks,threads,bench,throughput
64,2000,1,pessimistic_batch_1,0.1940442
64,2000,2,pessimistic_batch_1,0.38463379999999997
64,2000,4,pessimistic_batch_1,0.785742
64,2000,8,pessimistic_batch_1,1.5570565
64,2000,16,pessimistic_batch_1,3.0203069
64,2000,1,pessimistic_batch_32,0.2122272
64,2000,2,pessimistic_batch_32,0.420112
64,2000,4,pessimistic_batch_32,0.8452256
64,2000,8,pessimistic_batch_32,1.6910336000000001
64,2000,16,pessimistic_batch_32,3.2689247999999997
64,2000,1,broken_batch_1,0.1121152
64,2000,2,broken_batch_1,0.22281610000000002
64,2000,4,broken_batch_1,0.4444147
64,2000,8,broken_batch_1,0.8849494
64,2000,16,broken_batch_1,1.7005276999999999
64,2000,1,broken_batch_32,1.3218208
64,2000,2,broken_batch_32,2.6157376
64,2000,4,broken_batch_32,5.1466624
64,2000,8,broken_batch_32,9.811372800000001
64,2000,16,broken_batch_32,17.359184
64,2000,1,rc_batch_32,1.5186528000000001
64,2000,2,rc_batch_32,3.0051936
64,2000,4,rc_batch_32,5.8598976
64,2000,8,rc_batch_32,11.0992256
64,2000,16,rc_batch_32,19.8554912
64,2000,1,rcopt_batch_32,2.1164416
64,2000,2,rcopt_batch_32,4.201056
64,2000,4,rcopt_batch_32,8.0925632
64,2000,8,rcopt_batch_32,15.110550400000001
64,2000,16,rcopt_batch_32,20.4680608
64,2000,1,farm_fixed_nomemcpy_batch_1,0.2338509
64,2000,2,farm_fixed_nomemcpy_batch_1,0.4223941
64,2000,4,farm_fixed_nomemcpy_batch_1,0.8633875999999999
64,2000,8,farm_fixed_nomemcpy_batch_1,1.6790568000000001
64,2000,16,farm_fixed_nomemcpy_batch_1,3.2252162
64,2000,1,farm_fixed_nomemcpy_batch_32,2.535152
64,2000,2,farm_fixed_nomemcpy_batch_32,5.0224384
64,2000,4,farm_fixed_nomemcpy_batch_32,9.8826464
64,2000,8,farm_fixed_nomemcpy_batch_32,18.8909472
64,2000,16,farm_fixed_nomemcpy_batch_32,34.755056
64,2000,1,farm_fixed_memcpy_batch_1,0.21239260000000001
64,2000,2,farm_fixed_memcpy_batch_1,0.4200117
64,2000,4,farm_fixed_memcpy_batch_1,0.8369683
64,2000,8,farm_fixed_memcpy_batch_1,1.6880319
64,2000,16,farm_fixed_memcpy_batch_1,3.2279177999999997
64,2000,1,farm_fixed_memcpy_batch_32,2.5148544
64,2000,2,farm_fixed_memcpy_batch_32,4.8842816
64,2000,4,farm_fixed_memcpy_batch_32,9.754841599999999
64,2000,8,farm_fixed_memcpy_batch_32,17.8294976
64,2000,16,farm_fixed_memcpy_batch_32,21.837238399999997
128,2000,1,pessimistic_batch_1,0.1897543
128,2000,2,pessimistic_batch_1,0.3761664
128,2000,4,pessimistic_batch_1,0.7504464000000001
128,2000,8,pessimistic_batch_1,1.5062331
128,2000,16,pessimistic_batch_1,2.9117986
128,2000,1,pessimistic_batch_32,0.2076192
128,2000,2,pessimistic_batch_32,0.41106240000000005
128,2000,4,pessimistic_batch_32,0.8268864
128,2000,8,pessimistic_batch_32,1.6530048
128,2000,16,pessimistic_batch_32,3.1933536
128,2000,1,broken_batch_1,0.1112985
128,2000,2,broken_batch_1,0.2210179
128,2000,4,broken_batch_1,0.4408073
128,2000,8,broken_batch_1,0.8784595
128,2000,16,broken_batch_1,1.6878266000000002
128,2000,1,broken_batch_32,1.3117664
128,2000,2,broken_batch_32,2.5962496
128,2000,4,broken_batch_32,5.0885952
128,2000,8,broken_batch_32,9.641491199999999
128,2000,16,broken_batch_32,17.6856768
128,2000,1,rc_batch_32,1.5056
128,2000,2,rc_batch_32,2.9798848
128,2000,4,rc_batch_32,5.7806368
128,2000,8,rc_batch_32,10.8911232
128,2000,16,rc_batch_32,20.0014976
128,2000,1,rcopt_batch_32,2.1123712
128,2000,2,rcopt_batch_32,4.1676063999999995
128,2000,4,rcopt_batch_32,8.0288608
128,2000,8,rcopt_batch_32,15.3185728
128,2000,16,rcopt_batch_32,20.758496
128,2000,1,farm_fixed_nomemcpy_batch_1,0.2095177
128,2000,2,farm_fixed_nomemcpy_batch_1,0.41630540000000005
128,2000,4,farm_fixed_nomemcpy_batch_1,0.8300508000000001
128,2000,8,farm_fixed_nomemcpy_batch_1,1.6556989
128,2000,16,farm_fixed_nomemcpy_batch_1,3.2076111000000003
128,2000,1,farm_fixed_nomemcpy_batch_32,2.484576
128,2000,2,farm_fixed_nomemcpy_batch_32,4.9211232
128,2000,4,farm_fixed_nomemcpy_batch_32,9.6403232
128,2000,8,farm_fixed_nomemcpy_batch_32,18.316992
128,2000,16,farm_fixed_nomemcpy_batch_32,33.476112
128,2000,1,farm_fixed_memcpy_batch_1,0.2091269
128,2000,2,farm_fixed_memcpy_batch_1,0.41356109999999996
128,2000,4,farm_fixed_memcpy_batch_1,0.8251824
128,2000,8,farm_fixed_memcpy_batch_1,1.6444568
128,2000,16,farm_fixed_memcpy_batch_1,3.1761028
128,2000,1,farm_fixed_memcpy_batch_32,2.4457888
128,2000,2,farm_fixed_memcpy_batch_32,4.7541376
128,2000,4,farm_fixed_memcpy_batch_32,9.372992
128,2000,8,farm_fixed_memcpy_batch_32,16.768726400000002
128,2000,16,farm_fixed_memcpy_batch_32,20.6370944
256,2000,1,pessimistic_batch_1,0.1873797
256,2000,2,pessimistic_batch_1,0.37142240000000004
256,2000,4,pessimistic_batch_1,0.7398471
256,2000,8,pessimistic_batch_1,1.4848146
256,2000,16,pessimistic_batch_1,2.8912376
